dimension_reduction_type,Decision Tree StratKFold,Linear Regression,Poisson Regression StratKFold,Random Forest StratKFold
All Features,0.564787339,0.543632439,0.724133713,0.787931367
PCA50,0.391743732,0.637572087,0.622944244,0.743698052
PCA100,0.361014737,0.684641213,0.668142318,0.60313183
PCA300,0.399969526,0.6561999675,0.646575427,0.459544219
Lasso_0.01,0.516538714,0.5832289405,0.615081492,0.813771433
Lasso_0.1,0.420935412,0.7238033054999999,0.733391456,0.777511894
Lasso_0.8,0.567623393,0.4813358595,0.557887686,0.57870729
Ridge50,0.201494242,0.37044546700000003,0.277899344,0.489473222
Ridge100,0.458716142,0.4582193075,0.463859068,0.605626864
Ridge300,0.289601251,0.565371462,0.593582712,0.797646422
