dimension_reduction_type,Decision Tree StratKFold,Linear Regression,Poisson Regression StratKFold,Random Forest StratKFold
All Features,1.090909091,1.236363636,0.8,0.690909091
PCA50,1.236363636,0.9590909095,0.981818182,0.772727273
PCA100,1.3,0.909090909,0.909090909,1.009090909
PCA300,1.363636364,0.9681818179999999,1.0,1.154545455
Lasso_0.01,1.218181818,1.0772727275,1.036363636,0.609090909
Lasso_0.1,1.363636364,0.827272727,0.790909091,0.709090909
Lasso_0.8,1.1,1.1863636364999999,1.127272727,1.081818182
Ridge50,1.572727273,1.2954545455,1.418181818,1.245454545
Ridge100,1.281818182,1.2409090909999998,1.236363636,1.036363636
Ridge300,1.445454545,1.0909090909999999,1.027272727,0.672727273
