dimension_reduction_type,Decision Tree StratKFold,Linear Regression,Poisson Regression StratKFold,Random Forest StratKFold
All Features,0.690909091,0.654545455,0.827272727,0.827272727
PCA50,0.636363636,0.7454545455,0.727272727,0.854545455
PCA100,0.645454545,0.8,0.8,0.7
PCA300,0.590909091,0.7590909095,0.745454545,0.645454545
Lasso_0.01,0.690909091,0.6954545455000001,0.727272727,0.854545455
Lasso_0.1,0.581818182,0.85,0.863636364,0.818181818
Lasso_0.8,0.7,0.6454545455,0.745454545,0.718181818
Ridge50,0.509090909,0.6227272724999999,0.636363636,0.6
Ridge100,0.636363636,0.663636364,0.627272727,0.690909091
Ridge300,0.581818182,0.6954545455000001,0.736363636,0.836363636
